size,avg_time,min_time,avg_algbw,max_algbw
1048576,126.77,126.77,8.27,8.27
2097152,131.30,131.30,15.97,15.97
4194304,140.84,140.84,29.78,29.78
8388608,162.61,162.61,51.59,51.59
16777216,220.34,220.34,76.14,76.14
33554432,335.61,335.61,99.98,99.98
67108864,663.10,663.10,101.20,101.20
134217728,1320.00,1320.00,101.68,101.68
268435456,2386.51,2386.51,112.48,112.48
536870912,4614.37,4614.37,116.35,116.35
1073741824,8709.37,8709.37,123.29,123.29
