batch_size,seqlen,gemv_time
128,128,0.03592258971623751
128,256,0.04153443260862503
128,384,0.04714627550101252
128,512,0.05275811839340001
128,640,0.05836996128578751
128,768,0.06398180417817499
128,896,0.06959364707056252
128,1024,0.07520548996295001
128,1152,0.08081733285533749
128,1280,0.086429175747725
128,1408,0.0920410186401125
128,1536,0.09765286153250001
128,1664,0.1022476465270375
128,1792,0.10684243152157502
128,1920,0.11143721651611248
128,2048,0.11603200151064996
128,2176,0.12138772733410623
128,2304,0.1267434531575625
128,2432,0.13209917898101875
128,2560,0.137454904804475
128,2688,0.14281063062793123
128,2816,0.14816635645138748
128,2944,0.15352208227484374
128,3072,0.15887780809830002
128,3200,0.16329247778257494
128,3328,0.16770714746684998
128,3456,0.17212181715112498
128,3584,0.1765364868354
128,3712,0.18095115651967497
128,3840,0.18536582620395
128,3968,0.18978049588822493
256,128,0.043721453302999994
256,256,0.05398584476289998
256,384,0.06425023622279999
256,512,0.07451462768270001
256,640,0.08477901914260001
256,768,0.0950434106025
256,896,0.1053078020624
256,1024,0.1155721935223
256,1152,0.1258365849822
256,1280,0.1361009764421
256,1408,0.14636536790200003
256,1536,0.1566297593619
256,1664,0.16591172725982498
256,1792,0.17519369515775
256,1920,0.18447566305567498
256,2048,0.1937576309536
256,2176,0.2034142027602125
256,2304,0.21307077456682497
256,2432,0.22272734637343752
256,2560,0.23238391818005
256,2688,0.24204048998666247
256,2816,0.251697061793275
256,2944,0.2613536335998875
256,3072,0.2710102054065
256,3200,0.279873677416425
256,3328,0.28873714942635
256,3456,0.29760062143627497
256,3584,0.3064640934462
256,3712,0.315327565456125
256,3840,0.32419103746604994
256,3968,0.333054509475975
384,128,0.051520316889762524
384,256,0.06643725691717503
384,384,0.0813541969445875
384,512,0.096271136972
384,640,0.1111880769994125
384,768,0.12610501702682503
384,896,0.14102195705423748
384,1024,0.15593889708165
384,1152,0.1708558371090625
384,1280,0.185772777136475
384,1408,0.2006897171638875
384,1536,0.21560665719129998
384,1664,0.22957580799261246
384,1792,0.24354495879392501
384,1920,0.25751410959523746
384,2048,0.27148326039655
384,2176,0.2854406781863187
384,2304,0.29939809597608746
384,2432,0.31335551376585624
384,2560,0.32731293155562496
384,2688,0.34127034934539374
384,2816,0.35522776713516246
384,2944,0.36918518492493124
384,3072,0.38314260271469996
384,3200,0.396454877050275
384,3328,0.40976715138585007
384,3456,0.42307942572142493
384,3584,0.436391700057
384,3712,0.4497039743925751
384,3840,0.46301624872814995
384,3968,0.476328523063725
512,128,0.05931918047652506
512,256,0.07888866907145003
512,384,0.09845815766637496
512,512,0.1180276462613
512,640,0.137597134856225
512,768,0.15716662345115
512,896,0.176736112046075
512,1024,0.196305600641
512,1152,0.215875089235925
512,1280,0.23544457783084996
512,1408,0.255014066425775
512,1536,0.2745835550207
512,1664,0.29323988872539997
512,1792,0.31189622243009996
512,1920,0.3305525561348
512,2048,0.3492088898395
512,2176,0.367467153612425
512,2304,0.38572541738535
512,2432,0.403983681158275
512,2560,0.4222419449312
512,2688,0.440500208704125
512,2816,0.45875847247705
512,2944,0.477016736249975
512,3072,0.4952750000229
512,3200,0.513036076684125
512,3328,0.53079715334535
512,3456,0.548558230006575
512,3584,0.5663193066678001
512,3712,0.584080383329025
512,3840,0.60184145999025
512,3968,0.619602536651475
640,128,0.06830733192383752
640,256,0.092491287152
640,384,0.1166752423801625
640,512,0.14085919760832502
640,640,0.16504315283648746
640,768,0.18922710806465
640,896,0.2134110632928125
640,1024,0.237595018520975
640,1152,0.2617789737491375
640,1280,0.28596292897729997
640,1408,0.3101468842054625
640,1536,0.334330839433625
640,1664,0.3577393796819625
640,1792,0.38114791993029995
640,1920,0.40455646017863744
640,2048,0.42796500042697494
640,2176,0.4509845542190031
640,2304,0.47400410801103127
640,2432,0.4970236618030594
640,2560,0.5200432155950875
640,2688,0.5430627693871156
640,2816,0.5660823231791436
640,2944,0.5891018769711719
640,3072,0.6121214307632
640,3200,0.634491690730653
640,3328,0.6568619506981062
640,3456,0.6792322106655594
640,3584,0.7016024706330125
640,3712,0.7239727306004656
640,3840,0.7463429905679188
640,3968,0.768713250535372
768,128,0.07729548337115008
768,256,0.10609390523255002
768,384,0.13489232709394997
768,512,0.16369074895534996
768,640,0.19248917081675
768,768,0.22128759267815
768,896,0.25008601453955
768,1024,0.27888443640095
768,1152,0.30768285826235003
768,1280,0.33648128012375
768,1408,0.36527970198515003
768,1536,0.39407812384655
768,1664,0.422238870638525
768,1792,0.45039961743049994
768,1920,0.47856036422247505
768,2048,0.5067211110144499
768,2176,0.5345019548255812
768,2304,0.5622827986367125
768,2432,0.5900636424478437
768,2560,0.6178444862589749
768,2688,0.6456253300701063
768,2816,0.6734061738812374
768,2944,0.7011870176923688
768,3072,0.7289678615035
768,3200,0.7559473047771813
768,3328,0.7829267480508626
768,3456,0.8099061913245437
768,3584,0.836885634598225
768,3712,0.8638650778719064
768,3840,0.8908445211455875
768,3968,0.9178239644192687
896,128,0.0862836348184626
896,256,0.11969652331310007
896,384,0.1531094118077374
896,512,0.186522300302375
896,640,0.21993518879701246
896,768,0.25334807729165
896,896,0.28676096578628746
896,1024,0.320173854280925
896,1152,0.35358674277556257
896,1280,0.38699963127020004
896,1408,0.4204125197648375
896,1536,0.453825408259475
896,1664,0.4867383615950875
896,1792,0.5196513149307
896,1920,0.5525642682663126
896,2048,0.5854772216019251
896,2176,0.6180193554321595
896,2304,0.6505614892623938
896,2432,0.6831036230926281
896,2560,0.7156457569228625
896,2688,0.7481878907530969
896,2816,0.7807300245833313
896,2944,0.8132721584135657
896,3072,0.8458142922438
896,3200,0.8774029188237094
896,3328,0.9089915454036188
896,3456,0.9405801719835282
896,3584,0.9721687985634375
896,3712,1.003757425143347
896,3840,1.0353460517232562
896,3968,1.0669346783031657
1024,128,0.095271786265775
1024,256,0.13329914139364996
1024,384,0.17132649652152504
1024,512,0.20935385164939999
1024,640,0.24738120677727501
1024,768,0.28540856190515
1024,896,0.323435917033025
1024,1024,0.3614632721609
1024,1152,0.39949062728877505
1024,1280,0.43751798241664996
1024,1408,0.475545337544525
1024,1536,0.5135726926724
1024,1664,0.55123785255165
1024,1792,0.5889030124309
1024,1920,0.6265681723101499
1024,2048,0.6642333321894
1024,2176,0.7015367560387374
1024,2304,0.738840179888075
1024,2432,0.7761436037374124
1024,2560,0.81344702758675
1024,2688,0.8507504514360875
1024,2816,0.8880538752854249
