blocks,batch_size,seqlen,time,BW
4,32,256,0.0017911040386983,75229758343.86717
4,32,384,0.0021824064402146,92491576399.55608
4,32,512,0.0025641274819007,104894979636.74686
4,32,768,0.0033273286898404,121173443799.2456
4,32,1024,0.0040822800465715,131643014655.82458
4,32,2048,0.0076174893812699,141028454682.38733
4,64,256,0.0036022920299777,74810326802.31322
4,64,384,0.0043711354670317,92357791938.70264
4,64,512,0.0051313894476209,104830904278.6451
4,64,768,0.0066497751286155,121262408488.07233
4,64,1024,0.0081636914283998,131657021756.2314
4,64,2048,0.0152399747732913,140982222081.19662
4,128,256,0.0072249637058803,74599306784.24493
4,128,384,0.0087442007886952,92337408016.0479
4,128,512,0.0102647850464801,104810415720.19257
4,128,768,0.0132998468499434,121259703979.73836
4,128,1024,0.0163223285675048,131697789755.28864
4,128,2048,0.0304749626832849,141005292005.06308
4,256,256,0.0144591141019548,74551909363.12347
4,256,384,0.0174879777842554,92339645436.52644
4,256,512,0.0205231718444824,104843090936.67116
4,256,768,0.0265898843062551,121304438291.26492
4,256,1024,0.0326355202198028,131734660855.5447
4,256,2048,0.0609378679448908,141033191836.84317
4,384,256,0.0217344853878021,74394760913.33905
4,384,384,0.0262432766914367,92299849918.9084
4,384,512,0.0307948727327234,104808653830.55466
4,384,768,0.0398903139554537,121287751041.59164
4,384,1024,0.0489596741416237,131717457133.1026
4,384,2048,0.0914281200062144,141000307423.18396
4,512,256,0.0290233457353379,74281895121.93375
4,512,384,0.0350053037007649,92262228592.78957
4,512,512,0.0410609036959134,104805913963.07465
4,512,768,0.0531932629671963,121273665049.99352
4,512,1024,0.0652843752774325,131707752972.43768
4,512,2048,0.1219036622480912,141000883148.35785
8,32,256,0.0009100179479767,148067765366.13797
8,32,384,0.0011091153644495,181995686355.1176
8,32,512,0.0013062297702851,205908719980.6313
8,32,768,0.0016911498384701,238408133228.8894
8,32,1024,0.0020737819977043,259141825223.1477
8,32,2048,0.0038689712396034,277666255309.2793
8,64,256,0.0018345879119831,146893284448.11008
8,64,384,0.0022292571491665,181095491900.0428
8,64,512,0.0026195849386185,205348636751.4711
8,64,768,0.0033769526625639,238785623778.2624
8,64,1024,0.0041452281376547,259287852033.18292
8,64,2048,0.0077324603814345,277863112387.7031
8,128,256,0.0036642606606448,147090322964.40027
8,128,384,0.0044367292370416,181984699282.29733
8,128,512,0.0052051819526043,206689487091.17007
8,128,768,0.0067518464215596,238858438315.52435
8,128,1024,0.0082782509600529,259670141237.9314
8,128,2048,0.0154581179185347,277985394770.965
8,256,256,0.0073004819206569,147655261079.39432
8,256,384,0.0088460306033753,182548957877.65344
8,256,512,0.0103850945063999,207192411265.39328
8,256,768,0.0134674593523928,239501074078.00705
8,256,1024,0.0165425218766735,259889587576.2632
8,256,2048,0.0309099822324864,278041635720.10736
8,384,256,0.0109846928015999,147198640253.68964
8,384,384,0.0132861304785075,182314218870.4507
8,384,512,0.0155935340650153,206981248929.39816
8,384,768,0.0202203546142578,239274066172.3348
8,384,1024,0.0248331217084612,259687197433.68912
8,384,2048,0.046377797907049,277964750586.8454
8,512,256,0.0146744173594883,146916165131.83115
8,512,384,0.0177220502392999,182240050580.49
8,512,512,0.02081619972229,206734447085.06912
8,512,768,0.0269690340945595,239198108963.8413
8,512,1024,0.033119999885559,259615289906.72137
8,512,2048,0.061842618075284,277939786040.03406
12,32,256,0.0006186134192076,217816684566.2461
12,32,384,0.0007570371157456,266637140771.08188
12,32,512,0.0008895600964257,302356300693.6627
12,32,768,0.0011574494717297,348338209008.3414
12,32,1024,0.0014153155435276,379705892765.45874
12,32,2048,0.0026281737232707,408756371958.1886
12,64,256,0.001239278272827,217456119346.97745
12,64,384,0.0015093482592737,267472014837.87668
12,64,512,0.0017746057538801,303125465937.33795
12,64,768,0.0022857456795156,352781044377.10565
12,64,1024,0.0028079566622579,382772040055.532
12,64,2048,0.0052252587080001,411188350293.62616
12,128,256,0.0024726472417709,217975809446.22787
12,128,384,0.0029917196148917,269883859430.19147
12,128,512,0.0035134944198848,306206943694.32385
12,128,768,0.0045683991692282,353019828666.2476
12,128,1024,0.0056003471003638,383835958285.5762
12,128,2048,0.0104436480601628,411458810871.9732
12,256,256,0.0049327183844996,218531543861.76132
12,256,384,0.005983366109076,269887156921.67047
12,256,512,0.0070230755209922,306377564297.6409
12,256,768,0.0091123339219526,353967601234.3514
12,256,1024,0.0111967800988091,383970136955.4677
12,256,2048,0.0208699307441711,411801175832.8585
12,384,256,0.0074093175986233,218229522824.1285
12,384,384,0.008985344001225,269577937101.76828
12,384,512,0.0105502292712529,305924077384.21533
12,384,768,0.0136754092654666,353788787895.1832
12,384,1024,0.0168008022308349,383841419677.2261
12,384,2048,0.0313399678468704,411340339945.0941
12,512,256,0.0098879849116007,218033213366.9269
12,512,384,0.0119620511191231,269992771292.9497
12,512,512,0.0140581546359592,306115962687.75653
12,512,768,0.0182353920936584,353759432364.6807
12,512,1024,0.0223978628904923,383896375026.47473
12,512,2048,0.0418318506876627,410895615504.5112
16,32,256,0.0004726660106549,285073013422.93365
16,32,384,0.0005766051872397,350073527722.3144
16,32,512,0.0006763340306332,397679382993.90106
16,32,768,0.0008749704068148,460797157092.0777
16,32,1024,0.0010701741181377,502164687868.8749
16,32,2048,0.0019994231970661,537296335051.19824
16,64,256,0.0009423538469998,285973941590.9997
16,64,384,0.0011475284918047,351806881383.0432
16,64,512,0.0013472798729787,399269822691.4636
16,64,768,0.0017347410125303,464834659569.0427
16,64,1024,0.0021348191141734,503465278563.4875
16,64,2048,0.0039864889553615,538961861442.0981
16,128,256,0.0018771952506754,287118393148.5336
16,128,384,0.0022713014496937,355486426563.45044
16,128,512,0.0026695680567558,403007664583.5383
16,128,768,0.0034646439075469,465483765441.8096
16,128,1024,0.0042590763488058,504713797066.0498
16,128,2048,0.0079677439719911,539315900097.3944
16,256,256,0.0037395563410289,288257340094.89606
16,256,384,0.0045402315113995,355672098205.8948
16,256,512,0.0053307260807524,403643469839.7192
16,256,768,0.006920963489846,466043634637.3167
16,256,1024,0.0085083465899451,505295493378.3117
16,256,2048,0.0159303360283374,539490316130.9469
16,384,256,0.0056378333970402,286800217411.332
16,384,384,0.0068249185085296,354912735877.0239
16,384,512,0.0080134663884601,402768165428.1183
16,384,768,0.0103852617302719,465872367366.25885
16,384,1024,0.0127708159923553,504967245934.81726
16,384,2048,0.0238947477794828,539507390786.06775
16,512,256,0.0075173979730748,286789276252.4808
16,512,384,0.0090905599764415,355277050079.3997
16,512,512,0.0106898845510279,402569879913.82587
16,512,768,0.0138592034159479,465462679375.6995
16,512,1024,0.0170348885218302,504755775829.1792
16,512,2048,0.0318677116632461,539371142102.5552
20,32,256,0.0003846175358291,350333282931.38226
20,32,384,0.0004718176804702,427822483885.7897
20,32,512,0.0005520926616542,487172025062.04376
20,32,768,0.0007177534066591,561730355104.3125
20,32,1024,0.000876402055424,613193052976.0997
20,32,2048,0.0016372588759933,656147156538.2239
20,64,256,0.0007664806726349,351592223550.23987
20,64,384,0.000931053914102,433603697793.7623
