size,avg_time,min_time,avg_algbw,max_algbw
8388608,94.27,94.27,88.99,88.99
9437184,103.81,103.81,90.91,90.91
10485760,112.39,112.39,93.29,93.29
11534336,121.32,121.32,95.07,95.07
12582912,129.74,129.74,96.99,96.99
13631488,138.57,138.57,98.37,98.37
14680064,150.69,150.69,97.42,97.42
15728640,161.28,161.28,97.52,97.52
16777216,168.61,168.61,99.50,99.50
17825792,174.35,174.35,102.24,102.24
18874368,183.52,183.52,102.85,102.85
19922944,193.58,193.58,102.92,102.92
20971520,205.39,205.39,102.10,102.10
22020096,215.16,215.16,102.34,102.34
23068672,226.67,226.67,101.77,101.77
24117248,236.18,236.18,102.12,102.12
25165824,246.03,246.03,102.29,102.29
26214400,256.88,256.88,102.05,102.05
27262976,267.08,267.08,102.08,102.08
28311552,274.80,274.80,103.03,103.03
29360128,282.48,282.48,103.94,103.94
30408704,290.22,290.22,104.78,104.78
31457280,304.76,304.76,103.22,103.22
32505856,308.47,308.47,105.38,105.38
33554432,319.12,319.12,105.15,105.15
