size,avg_time,min_time,avg_algbw,max_algbw
8388608,63.86,63.86,131.37,131.37
9437184,73.05,73.05,129.18,129.18
10485760,75.16,75.16,139.51,139.51
11534336,82.86,82.86,139.20,139.20
12582912,84.42,84.42,149.05,149.05
13631488,92.92,92.92,146.70,146.70
14680064,94.23,94.23,155.79,155.79
15728640,103.55,103.55,151.90,151.90
16777216,104.22,104.22,160.97,160.97
17825792,112.17,112.17,158.92,158.92
18874368,114.87,114.87,164.31,164.31
19922944,122.65,122.65,162.43,162.43
20971520,125.58,125.58,166.99,166.99
22020096,132.46,132.46,166.23,166.23
23068672,135.11,135.11,170.74,170.74
24117248,142.60,142.60,169.12,169.12
25165824,144.92,144.92,173.66,173.66
26214400,153.83,153.83,170.42,170.42
27262976,154.44,154.44,176.53,176.53
28311552,162.73,162.73,173.97,173.97
29360128,164.97,164.97,177.98,177.98
30408704,171.97,171.97,176.83,176.83
31457280,175.84,175.84,178.90,178.90
32505856,181.58,181.58,179.02,179.02
33554432,184.87,184.87,181.50,181.50
